Record_ID,Equipment_ID,Equipment_Type,Site,Month,Day_of_Week,Weather,Rental_Days,Engine_Hours,Idle_Hours,Current_Rentals,Available_Equipment,Previous_Demand,Predicted_Demand
95,EQX1095,Crane,Indore Logistics,October,Wednesday,Cloudy,25,156,9,75,10,89,95
96,EQX1096,Dump Truck,Pune Highway,December,Friday,Foggy,1,30,29,95,12,89,97
97,EQX1097,Excavator,Hyderabad Ring Road,September,Tuesday,Rainy,8,99,51,20,43,31,34
98,EQX1098,Dump Truck,Goa Port,December,Friday,Foggy,23,197,38,65,17,64,68
99,EQX1099,Grader,Patna Bridge,July,Sunday,Rainy,17,191,0,40,51,50,62
100,EQX1100,Roller,Nagpur Mine,June,Saturday,Sunny,27,171,11,112,39,115,136
101,EQX1101,Dump Truck,Kochi Harbor,March,Thursday,Cloudy,16,138,54,102,36,99,105
102,EQX1102,Crane,Mumbai Port,April,Thursday,Cloudy,19,178,33,10,22,18,21
103,EQX1103,Roller,Vizag Port,July,Monday,Cloudy,16,100,48,80,23,92,109
104,EQX1104,Dump Truck,Chennai Metro,February,Wednesday,Cloudy,24,181,0,14,32,24,23
105,EQX1105,Crane,Hyderabad Ring Road,October,Saturday,Cloudy,28,245,40,53,22,58,60
106,EQX1106,Dump Truck,Patna Bridge,September,Thursday,Cloudy,3,41,33,34,49,21,26
107,EQX1107,Bulldozer,Pune Highway,November,Wednesday,Foggy,15,127,23,120,3,106,117
108,EQX1108,Excavator,Kolkata Dock,May,Sunday,Hot,14,105,53,57,38,63,72
109,EQX1109,Grader,Hyderabad Ring Road,March,Tuesday,Sunny,20,252,10,68,60,71,79
110,EQX1110,Wheel Loader,Indore Logistics,August,Friday,Cloudy,9,99,50,120,20,126,145
111,EQX1111,Grader,Kolkata Dock,February,Sunday,Cloudy,19,172,35,93,18,92,99
112,EQX1112,Backhoe Loader,Bhopal Quarry,April,Wednesday,Hot,4,40,41,78,20,85,95
113,EQX1113,Excavator,Nagpur Mine,November,Sunday,Cloudy,1,31,5,82,49,82,87
114,EQX1114,Backhoe Loader,Kolkata Dock,April,Sunday,Cloudy,8,94,24,91,50,99,109
115,EQX1115,Grader,Bengaluru Airport,November,Tuesday,Sunny,10,134,0,79,25,87,98
116,EQX1116,Bulldozer,Surat Industrial,May,Friday,Hot,6,46,63,117,25,118,133
117,EQX1117,Backhoe Loader,Bhopal Quarry,March,Monday,Cloudy,26,231,17,107,9,106,115
118,EQX1118,Grader,Ahmedabad SEZ,April,Monday,Cloudy,28,353,18,16,52,13,16
119,EQX1119,Backhoe Loader,Indore Logistics,September,Saturday,Cloudy,12,155,21,79,26,90,101
120,EQX1120,Crane,Bhopal Quarry,February,Monday,Sunny,1,27,40,83,16,88,99
121,EQX1121,Dump Truck,Surat Industrial,December,Monday,Foggy,4,29,0,43,33,31,33
122,EQX1122,Wheel Loader,Ahmedabad SEZ,September,Saturday,Cloudy,15,141,54,58,39,66,74
123,EQX1123,Grader,Pune Highway,July,Wednesday,Cloudy,27,262,25,40,4,47,62
124,EQX1124,Wheel Loader,Mumbai Port,August,Wednesday,Cloudy,28,227,19,74,59,79,92
125,EQX1125,Excavator,Delhi NCR,July,Saturday,Stormy,4,62,7,89,15,94,110
126,EQX1126,Excavator,Mumbai Port,January,Friday,Foggy,5,78,21,13,55,22,19
127,EQX1127,Wheel Loader,Mumbai Port,October,Tuesday,Sunny,11,136,0,40,56,29,35
128,EQX1128,Backhoe Loader,Chennai Metro,March,Tuesday,Sunny,5,41,25,80,22,65,76
129,EQX1129,Backhoe Loader,Surat Industrial,January,Wednesday,Sunny,17,125,0,65,30,74,84
130,EQX1130,Bulldozer,Patna Bridge,August,Monday,Rainy,2,47,64,43,31,48,57
131,EQX1131,Excavator,Surat Industrial,August,Wednesday,Cloudy,22,147,34,14,59,5,12
132,EQX1132,Grader,Nagpur Mine,February,Friday,Sunny,20,238,50,96,22,93,105
133,EQX1133,Backhoe Loader,Pune Highway,August,Thursday,Cloudy,26,289,44,97,57,88,103
134,EQX1134,Dump Truck,Lucknow Expressway,April,Thursday,Hot,27,255,26,98,8,93,106
135,EQX1135,Crane,Kolkata Dock,November,Monday,Cloudy,5,70,3,16,55,5,3
136,EQX1136,Roller,Vizag Port,February,Monday,Cloudy,18,126,53,76,23,82,86
137,EQX1137,Roller,Surat Industrial,June,Monday,Sunny,28,309,8,81,21,77,96
138,EQX1138,Wheel Loader,Mumbai Port,March,Wednesday,Cloudy,28,179,43,52,9,61,64
139,EQX1139,Wheel Loader,Patna Bridge,July,Saturday,Cloudy,20,240,51,8,40,22,31
140,EQX1140,Backhoe Loader,Nagpur Mine,January,Sunday,Sunny,23,285,20,49,2,39,48
141,EQX1141,Grader,Hyderabad Ring Road,October,Tuesday,Cloudy,5,75,0,16,49,17,16
142,EQX1142,Roller,Lucknow Expressway,July,Monday,Stormy,6,57,35,104,38,108,124
143,EQX1143,Excavator,Patna Bridge,March,Thursday,Sunny,2,24,32,61,44,59,66
144,EQX1144,Dump Truck,Delhi NCR,July,Saturday,Stormy,25,253,19,60,9,54,67
145,EQX1145,Dump Truck,Jaipur Smart City,September,Tuesday,Sunny,2,26,5,5,15,5,15
146,EQX1146,Grader,Lucknow Expressway,May,Friday,Hot,4,39,51,27,10,24,31
147,EQX1147,Wheel Loader,Kolkata Dock,September,Monday,Sunny,3,50,2,60,3,59,75
148,EQX1148,Crane,Mysuru Township,October,Monday,Cloudy,13,163,40,42,9,39,41
149,EQX1149,Crane,Kolkata Dock,March,Friday,Cloudy,3,30,28,60,39,57,60
150,EQX1150,Bulldozer,Lucknow Expressway,July,Monday,Stormy,8,88,13,14,34,19,27
151,EQX1151,Wheel Loader,Vizag Port,June,Tuesday,Cloudy,8,52,24,30,13,34,43
152,EQX1152,Bulldozer,Indore Logistics,March,Saturday,Cloudy,25,274,32,92,58,95,100
153,EQX1153,Crane,Vizag Port,November,Wednesday,Cloudy,15,105,41,85,21,95,101
154,EQX1154,Excavator,Hyderabad Ring Road,June,Wednesday,Sunny,10,104,0,12,25,23,35
155,EQX1155,Bulldozer,Patna Bridge,November,Sunday,Sunny,20,212,39,79,37,94,103
156,EQX1156,Excavator,Lucknow Expressway,August,Sunday,Rainy,20,196,0,12,30,5,13
157,EQX1157,Crane,Goa Port,December,Friday,Sunny,21,148,10,95,30,94,106
158,EQX1158,Grader,Jaipur Smart City,June,Sunday,Cloudy,13,141,30,91,40,77,91
159,EQX1159,Crane,Pune Highway,February,Saturday,Cloudy,18,210,18,37,48,49,49
160,EQX1160,Grader,Mysuru Township,June,Thursday,Rainy,22,165,17,88,46,94,106
161,EQX1161,Grader,Jaipur Smart City,October,Saturday,Sunny,18,182,24,109,10,115,129
162,EQX1162,Bulldozer,Surat Industrial,November,Tuesday,Foggy,17,136,29,44,13,59,61
163,EQX1163,Crane,Mumbai Port,August,Friday,Rainy,5,37,32,113,52,101,117
164,EQX1164,Excavator,Patna Bridge,November,Saturday,Cloudy,5,62,14,25,13,36,37
165,EQX1165,Grader,Bengaluru Airport,December,Sunday,Foggy,14,133,16,61,41,55,58
166,EQX1166,Dump Truck,Mumbai Port,April,Wednesday,Cloudy,10,145,50,120,55,111,123
167,EQX1167,Dump Truck,Ahmedabad SEZ,August,Friday,Cloudy,17,183,3,109,14,119,139
168,EQX1168,Grader,Bhopal Quarry,May,Sunday,Sunny,28,241,0,96,56,97,115
169,EQX1169,Bulldozer,Coimbatore Plant,May,Tuesday,Sunny,9,97,9,111,29,98,119
170,EQX1170,Dump Truck,Surat Industrial,June,Wednesday,Rainy,2,34,45,35,26,22,29
171,EQX1171,Wheel Loader,Pune Highway,January,Monday,Foggy,27,317,15,106,11,95,104
172,EQX1172,Backhoe Loader,Bhopal Quarry,August,Sunday,Rainy,15,150,0,7,18,5,13
173,EQX1173,Grader,Patna Bridge,September,Monday,Sunny,17,156,19,35,21,23,35
174,EQX1174,Wheel Loader,Patna Bridge,July,Saturday,Cloudy,15,93,48,81,36,66,82
175,EQX1175,Wheel Loader,Jaipur Smart City,December,Tuesday,Sunny,14,103,31,35,38,33,38
176,EQX1176,Bulldozer,Hyderabad Ring Road,September,Sunday,Rainy,17,186,47,75,3,72,82
177,EQX1177,Dump Truck,Ahmedabad SEZ,January,Wednesday,Cloudy,12,119,0,50,52,37,39
178,EQX1178,Wheel Loader,Pune Highway,December,Friday,Cloudy,25,273,17,22,4,18,19
179,EQX1179,Crane,Indore Logistics,November,Saturday,Sunny,23,227,0,108,10,95,110
180,EQX1180,Dump Truck,Delhi NCR,January,Thursday,Foggy,2,30,3,45,21,46,49
181,EQX1181,Dump Truck,Delhi NCR,May,Wednesday,Sunny,10,104,0,115,43,110,131
182,EQX1182,Bulldozer,Ahmedabad SEZ,June,Thursday,Cloudy,24,228,19,28,33,35,43
183,EQX1183,Crane,Hyderabad Ring Road,September,Friday,Rainy,24,218,31,82,54,72,81
184,EQX1184,Backhoe Loader,Hyderabad Ring Road,June,Thursday,Rainy,11,130,28,62,40,69,79
185,EQX1185,Grader,Kolkata Dock,December,Saturday,Foggy,15,113,30,83,29,76,81
186,EQX1186,Excavator,Kolkata Dock,February,Friday,Cloudy,17,227,3,8,11,20,20
187,EQX1187,Dump Truck,Hyderabad Ring Road,January,Friday,Sunny,8,116,38,51,26,66,73
188,EQX1188,Excavator,Indore Logistics,October,Wednesday,Sunny,12,110,0,78,10,79,91
189,EQX1189,Roller,Nagpur Mine,June,Friday,Sunny,8,48,15,68,35,65,82
190,EQX1190,Bulldozer,Indore Logistics,May,Sunday,Hot,7,79,55,30,9,19,26
191,EQX1191,Bulldozer,Indore Logistics,August,Monday,Rainy,3,57,37,90,24,97,112
192,EQX1192,Backhoe Loader,Coimbatore Plant,May,Tuesday,Sunny,26,224,2,20,14,30,43
193,EQX1193,Wheel Loader,Kolkata Dock,August,Friday,Rainy,18,191,41,107,37,96,112
194,EQX1194,Bulldozer,Ahmedabad SEZ,February,Sunday,Cloudy,23,268,44,57,51,55,56
195,EQX1195,Bulldozer,Hyderabad Ring Road,March,Sunday,Cloudy,15,156,51,49,10,62,64
196,EQX1196,Grader,Goa Port,March,Tuesday,Cloudy,30,361,0,71,11,65,71
197,EQX1197,Grader,Mumbai Port,June,Friday,Sunny,12,129,0,37,14,42,58
198,EQX1198,Backhoe Loader,Patna Bridge,March,Tuesday,Cloudy,18,124,3,80,39,69,74
199,EQX1199,Crane,Chennai Metro,October,Friday,Sunny,3,38,30,88,15,97,109
200,EQX1200,Roller,Bhopal Quarry,October,Tuesday,Sunny,29,336,8,87,21,87,99
201,EQX1201,Roller,Hyderabad Ring Road,May,Tuesday,Hot,23,143,33,58,32,57,67
202,EQX1202,Crane,Lucknow Expressway,October,Wednesday,Sunny,28,318,16,56,10,65,74
203,EQX1203,Bulldozer,Indore Logistics,June,Wednesday,Rainy,4,46,27,23,8,9,17
204,EQX1204,Roller,Mumbai Port,October,Thursday,Cloudy,28,206,12,29,50,19,19
205,EQX1205,Dump Truck,Bhopal Quarry,August,Friday,Cloudy,1,18,63,63,17,54,67
206,EQX1206,Crane,Jaipur Smart City,January,Sunday,Sunny,16,180,44,41,36,26,31
207,EQX1207,Bulldozer,Nagpur Mine,July,Monday,Rainy,24,216,27,51,4,48,63
208,EQX1208,Wheel Loader,Jaipur Smart City,June,Sunday,Sunny,3,43,54,102,37,95,114
209,EQX1209,Bulldozer,Ahmedabad SEZ,March,Tuesday,Sunny,12,154,59,51,50,40,45
210,EQX1210,Roller,Bengaluru Airport,September,Thursday,Cloudy,2,36,40,107,32,108,121
211,EQX1211,Grader,Lucknow Expressway,October,Sunday,Sunny,30,310,0,55,41,63,71
212,EQX1212,Backhoe Loader,Goa Port,October,Thursday,Cloudy,27,287,35,95,38,89,95
213,EQX1213,Excavator,Pune Highway,June,Saturday,Cloudy,14,149,0,81,32,74,88
214,EQX1214,Wheel Loader,Mysuru Township,December,Tuesday,Sunny,16,128,32,23,54,29,32
215,EQX1215,Excavator,Delhi NCR,October,Tuesday,Sunny,1,19,52,24,28,31,35
216,EQX1216,Roller,Bhopal Quarry,September,Tuesday,Sunny,28,359,0,95,10,96,116
217,EQX1217,Crane,Goa Port,November,Wednesday,Cloudy,13,109,45,73,23,75,79
218,EQX1218,Backhoe Loader,Delhi NCR,October,Wednesday,Cloudy,8,81,30,33,21,42,43
219,EQX1219,Wheel Loader,Bhopal Quarry,December,Wednesday,Cloudy,11,110,60,106,48,99,105
220,EQX1220,Bulldozer,Ahmedabad SEZ,October,Saturday,Cloudy,27,240,0,42,4,36,40
221,EQX1221,Bulldozer,Nagpur Mine,June,Friday,Cloudy,24,222,1,110,36,103,120
222,EQX1222,Backhoe Loader,Patna Bridge,March,Friday,Sunny,24,247,7,11,44,24,27
223,EQX1223,Wheel Loader,Bengaluru Airport,November,Tuesday,Sunny,4,46,56,17,45,26,28
224,EQX1224,Excavator,Surat Industrial,September,Wednesday,Cloudy,21,204,4,101,20,96,110
225,EQX1225,Excavator,Kochi Harbor,February,Tuesday,Sunny,24,265,0,58,58,69,76
226,EQX1226,Excavator,Coimbatore Plant,July,Friday,Stormy,30,339,0,6,21,9,17
227,EQX1227,Bulldozer,Indore Logistics,June,Friday,Cloudy,21,226,42,118,10,130,148
228,EQX1228,Dump Truck,Pune Highway,May,Tuesday,Sunny,11,100,47,87,18,94,112
229,EQX1229,Excavator,Jaipur Smart City,December,Saturday,Foggy,19,233,5,27,41,39,39
230,EQX1230,Roller,Lucknow Expressway,July,Wednesday,Cloudy,3,48,9,28,10,28,42
231,EQX1231,Wheel Loader,Ahmedabad SEZ,January,Saturday,Foggy,8,96,26,47,21,50,52
232,EQX1232,Excavator,Mumbai Port,May,Saturday,Hot,2,25,57,44,12,41,50
233,EQX1233,Backhoe Loader,Jaipur Smart City,December,Thursday,Sunny,12,127,16,22,32,11,16
234,EQX1234,Crane,Kochi Harbor,July,Tuesday,Cloudy,30,294,38,107,44,118,137
235,EQX1235,Wheel Loader,Hyderabad Ring Road,November,Monday,Foggy,17,169,29,14,60,17,14
236,EQX1236,Excavator,Delhi NCR,September,Thursday,Sunny,19,194,2,46,56,47,59
237,EQX1237,Bulldozer,Mysuru Township,November,Tuesday,Sunny,16,112,41,108,5,107,121
238,EQX1238,Roller,Kochi Harbor,August,Wednesday,Rainy,15,190,24,97,3,94,111
239,EQX1239,Excavator,Mysuru Township,December,Monday,Sunny,3,31,41,94,6,96,108
240,EQX1240,Bulldozer,Jaipur Smart City,August,Saturday,Rainy,14,122,3,103,43,111,128
241,EQX1241,Roller,Indore Logistics,June,Friday,Cloudy,28,264,0,92,44,104,119
242,EQX1242,Grader,Pune Highway,November,Sunday,Cloudy,6,72,61,21,48,13,10
243,EQX1243,Excavator,Indore Logistics,January,Tuesday,Foggy,22,259,32,73,26,84,89
244,EQX1244,Wheel Loader,Vizag Port,August,Thursday,Cloudy,9,86,5,9,53,15,23
245,EQX1245,Excavator,Hyderabad Ring Road,April,Sunday,Sunny,4,41,53,81,45,88,102
246,EQX1246,Excavator,Bengaluru Airport,April,Sunday,Cloudy,13,124,56,32,50,44,48
247,EQX1247,Excavator,Mumbai Port,March,Saturday,Cloudy,27,315,13,78,40,87,92
248,EQX1248,Crane,Vizag Port,April,Friday,Hot,22,227,30,43,19,29,36
249,EQX1249,Grader,Surat Industrial,November,Sunday,Foggy,18,163,26,87,44,84,89
250,EQX1250,Crane,Surat Industrial,December,Tuesday,Foggy,5,52,18,101,36,101,108
251,EQX1251,Wheel Loader,Indore Logistics,May,Tuesday,Sunny,30,197,22,58,37,59,74
252,EQX1252,Roller,Delhi NCR,April,Friday,Hot,11,123,46,113,25,100,113
253,EQX1253,Wheel Loader,Ahmedabad SEZ,January,Sunday,Foggy,22,239,0,116,6,107,118
254,EQX1254,Wheel Loader,Lucknow Expressway,August,Sunday,Rainy,10,66,14,99,9,107,125
255,EQX1255,Dump Truck,Patna Bridge,April,Wednesday,Cloudy,23,173,7,75,22,84,95
256,EQX1256,Roller,Jaipur Smart City,August,Saturday,Cloudy,9,88,54,64,8,74,88
257,EQX1257,Dump Truck,Kolkata Dock,June,Tuesday,Rainy,11,100,61,115,16,123,138
258,EQX1258,Excavator,Jaipur Smart City,May,Tuesday,Hot,5,45,24,53,38,64,73
259,EQX1259,Dump Truck,Lucknow Expressway,September,Sunday,Sunny,9,123,53,63,12,71,86
260,EQX1260,Crane,Kochi Harbor,March,Sunday,Sunny,16,129,0,72,4,83,95
261,EQX1261,Bulldozer,Chennai Metro,November,Monday,Sunny,14,118,15,13,47,5,8
262,EQX1262,Wheel Loader,Kolkata Dock,September,Monday,Rainy,2,40,59,89,33,74,84
263,EQX1263,Roller,Goa Port,January,Saturday,Sunny,24,209,12,7,34,18,21
264,EQX1264,Roller,Pune Highway,March,Sunday,Sunny,17,126,7,84,35,77,88
265,EQX1265,Crane,Hyderabad Ring Road,May,Wednesday,Hot,12,122,60,36,46,28,34
266,EQX1266,Bulldozer,Bengaluru Airport,November,Saturday,Foggy,3,39,45,75,32,61,65
267,EQX1267,Excavator,Hyderabad Ring Road,December,Friday,Sunny,16,205,26,77,56,65,74
268,EQX1268,Excavator,Mysuru Township,April,Friday,Sunny,16,129,0,92,19,105,123
269,EQX1269,Excavator,Chennai Metro,March,Friday,Cloudy,7,74,43,14,21,5,4
270,EQX1270,Wheel Loader,Kochi Harbor,October,Monday,Cloudy,11,123,6,106,46,114,122
271,EQX1271,Crane,Surat Industrial,January,Friday,Sunny,8,98,35,82,51,86,95
272,EQX1272,Roller,Nagpur Mine,June,Thursday,Rainy,26,249,3,50,37,65,75
273,EQX1273,Roller,Hyderabad Ring Road,March,Wednesday,Cloudy,25,259,6,96,6,83,92
274,EQX1274,Grader,Vizag Port,July,Wednesday,Cloudy,24,226,22,18,7,5,17
275,EQX1275,Dump Truck,Pune Highway,June,Friday,Cloudy,5,35,50,62,37,64,74
276,EQX1276,Roller,Hyderabad Ring Road,February,Wednesday,Sunny,12,122,29,115,26,100,114
277,EQX1277,Roller,Kochi Harbor,July,Tuesday,Rainy,29,221,37,26,45,23,33
278,EQX1278,Grader,Nagpur Mine,May,Wednesday,Hot,16,114,5,60,19,58,69
279,EQX1279,Dump Truck,Nagpur Mine,February,Thursday,Cloudy,8,108,55,81,41,72,76
