Equipment_ID,Type,Site_ID,Engine_Hours/Day,Idle_Hours/Day,Fuel_Level (%),Distance_Covered/Day (km),Equipment_Health (%),Current_Contract_ID,Last_Operator_ID,Latitude,Longitude,Maintenance_Status,Utilization (%),Status,Expected_Site_ID,Contract_End_Status,Anomaly_Type,Anomaly_Flag
EQ00016,Motor Grader,S149,10.3,1.9,71,28.3,88,C5781,OP0917,13.190709,80.28972,Good,70,Running,S149,Active,Normal,0
EQ00017,Motor Grader,S037,5.9,2.0,78,37.1,81,C5393,OP0548,12.966859,80.162084,Due Soon,67,Running,S037,Active,Normal,0
EQ00018,Bulldozer,S144,6.1,1.4,80,28.7,90,C9420,OP0196,13.04349,80.290719,Due Soon,76,Running,S144,Active,Normal,0
EQ00019,Skid Steer Loader,S116,7.7,1.0,81,16.6,96,C7021,OP0113,12.744916,80.064399,Due Soon,78,Running,S116,Active,Normal,0
EQ00020,Motor Grader,S106,5.7,0.3,40,37.5,94,C6813,OP0997,12.994499,80.250152,Good,93,Running,S106,Active,Normal,0
EQ00021,Backhoe Loader,S052,10.7,0.9,75,33.4,88,C8963,OP0989,13.32652,79.953711,Due Soon,90,Running,S080,Active,Wrong Site,1
EQ00022,Motor Grader,S018,10.6,2.5,80,19.2,84,C7010,OP1103,13.056463,80.144379,Good,96,Running,S018,Active,Normal,0
EQ00023,Backhoe Loader,S024,8.0,1.3,86,12.7,83,C7039,OP1185,13.095683,80.353393,Good,98,Running,S024,Active,Normal,0
EQ00024,Bulldozer,S134,5.6,1.8,59,26.1,80,C4987,OP1015,13.141629,80.003201,Good,96,Running,S134,Active,Normal,0
EQ00025,Wheel Loader,S113,7.9,2.7,70,37.0,100,C6954,OP0259,13.278839,80.366407,Overdue,72,Running,S113,Active,Normal,0
EQ00026,Motor Grader,S133,10.8,0.6,71,35.4,92,C8544,OP1080,13.236374,80.363247,Good,89,Running,S133,Active,Normal,0
EQ00027,Skid Steer Loader,S097,8.8,1.6,88,39.4,86,C6167,OP0686,13.328233,80.197295,Good,80,Running,S097,Active,Normal,0
EQ00028,Motor Grader,S122,5.1,1.5,72,28.7,97,C8922,OP1003,12.949361,80.180132,Good,66,Running,S122,Active,Normal,0
EQ00029,Motor Grader,S149,5.8,1.0,83,34.2,88,C2217,OP1131,13.257637,79.998767,Good,74,Running,S149,Active,Normal,0
EQ00030,Wheel Loader,S144,10.9,2.7,60,22.2,92,C2273,OP0472,13.245299,80.038432,Good,98,Running,S144,Active,Normal,0
EQ00031,Dump Truck,S110,8.1,0.1,81,39.9,94,C3585,OP0876,13.327193,80.243311,Good,73,Running,S110,Active,Normal,0
EQ00032,Bulldozer,S045,5.0,1.8,41,13.2,99,C5641,OP0592,12.790682,80.213464,Good,80,Running,S045,Active,Normal,0
EQ00033,Excavator,S009,9.5,1.2,49,21.0,96,C8476,OP0158,12.735647,80.272198,Due Soon,88,Running,S009,Active,Normal,0
EQ00034,Motor Grader,S011,9.5,1.8,58,19.2,98,C5718,OP0170,12.928785,80.164218,Good,90,Running,S011,Active,Normal,0
EQ00035,Backhoe Loader,S042,7.5,1.5,81,29.5,92,C2564,OP0805,12.912223,80.227195,Good,79,Running,S042,Active,Normal,0
EQ00036,Excavator,S083,10.9,2.2,46,31.6,82,C1144,OP0188,12.743009,80.238011,Good,67,Running,S083,Active,Normal,0
EQ00037,Skid Steer Loader,S085,7.1,2.7,66,37.9,87,C2254,OP0336,12.91321,80.30065,Good,87,Running,S085,Active,Normal,0
EQ00038,Wheel Loader,S084,8.7,0.7,49,29.6,98,C8343,OP0524,12.965339,80.086577,Due Soon,86,Running,S084,Active,Normal,0
EQ00039,Skid Steer Loader,S058,7.8,0.6,82,34.2,84,C9614,OP0687,12.781638,80.084785,Good,95,Running,S058,Active,Normal,0
EQ00040,Dump Truck,S061,9.3,1.1,69,20.7,99,C4948,OP0157,13.038731,80.237983,Good,85,Running,S061,Expired,Contract Expired,1
EQ00041,Backhoe Loader,S139,7.9,1.6,51,26.1,83,C5352,OP0833,13.058674,80.238705,Good,97,Running,S139,Active,Normal,0
EQ00042,Skid Steer Loader,S017,7.4,2.4,71,23.6,81,C1170,OP0294,13.125008,80.07221,Due Soon,78,Running,S017,Active,Normal,0
EQ00043,Dump Truck,S063,7.7,1.2,65,32.8,89,C9371,OP1189,13.227144,80.132587,Good,80,Running,S063,Active,Normal,0
EQ00044,Backhoe Loader,S146,8.4,2.7,52,17.7,87,C7703,OP0303,12.869669,80.093996,Good,91,Running,S146,Active,Normal,0
EQ00045,Motor Grader,S101,10.5,2.3,40,33.1,92,C4113,OP0327,13.181741,80.124155,Due Soon,72,Running,S101,Active,Normal,0
EQ00046,Bulldozer,S064,9.5,0.7,41,27.9,80,C6938,OP0278,13.27739,79.976934,Good,89,Running,S064,Active,Normal,0
EQ00047,Backhoe Loader,S079,7.7,1.6,57,28.9,85,C8085,OP0522,13.198013,80.231053,Good,74,Running,S079,Active,Normal,0
EQ00048,Bulldozer,S074,7.6,1.6,38,26.4,89,C9845,OP0777,12.734334,80.378376,Good,82,Running,S074,Active,Normal,0
EQ00049,Wheel Loader,S142,10.4,1.6,85,39.2,87,C9768,OP1140,12.869024,80.154529,Good,78,Running,S142,Active,Normal,0
EQ00050,Wheel Loader,S050,6.4,1.0,84,26.8,86,C6004,OP0327,12.994996,80.067079,Good,72,Running,S050,Active,Normal,0
EQ00051,Bulldozer,S078,6.3,0.6,65,35.5,89,C8268,OP0449,12.753069,80.177385,Due Soon,67,Running,S078,Active,Normal,0
EQ00052,Skid Steer Loader,S035,9.4,3.0,92,22.0,95,C6284,OP0739,13.173179,80.322303,Good,77,Running,S035,Active,Normal,0
EQ00053,Motor Grader,S085,7.1,2.3,56,23.4,92,C8349,OP0345,13.135876,80.152138,Good,71,Running,S085,Active,Normal,0
EQ00054,Skid Steer Loader,S090,10.4,0.3,68,39.8,96,C5464,OP0591,13.07381,80.09259,Good,71,Running,S090,Active,Normal,0
EQ00055,Motor Grader,S050,6.9,16.0,73,22.4,99,C3539,OP1015,12.796161,80.196744,Good,8,Idle,S050,Active,Low Utilization,1
EQ00056,Motor Grader,S078,8.7,2.1,35,13.1,88,C6937,OP0762,13.073313,80.090307,Good,77,Running,S078,Active,Normal,0
EQ00057,Wheel Loader,S105,5.2,2.4,83,35.0,90,C3638,OP0866,12.99512,80.140364,Good,98,Running,S104,Active,Wrong Site,1
EQ00058,Backhoe Loader,S038,8.0,2.2,71,22.9,98,C3983,OP0657,13.302192,80.255838,Good,89,Running,S038,Active,Normal,0
EQ00059,Motor Grader,S050,7.3,2.6,58,165.0,87,C4499,OP0380,13.296452,79.981041,Good,98,Running,S050,Active,Distance Spike,1
EQ00060,Backhoe Loader,S008,9.1,2.3,87,36.9,28,C4708,OP0847,12.746745,80.093306,Overdue,98,Maintenance,S008,Active,Maintenance Overdue,1
EQ00061,Skid Steer Loader,S099,6.5,2.7,87,20.4,99,C6618,OP0928,12.943361,79.959901,Due Soon,96,Running,S099,Active,Normal,0
EQ00062,Bulldozer,S023,9.9,0.5,64,20.0,90,C3101,OP0751,12.811176,80.317683,Good,67,Running,S023,Active,Normal,0
EQ00063,Wheel Loader,S068,5.4,0.1,57,26.1,83,C8571,OP0018,13.060982,80.193412,Good,83,Running,S068,Active,Normal,0
EQ00064,Excavator,S124,7.1,2.5,49,23.5,93,C6913,OP0738,13.21379,80.352347,Good,92,Running,S124,Active,Normal,0
EQ00065,Skid Steer Loader,S063,8.8,1.9,57,37.7,80,C3962,OP1078,12.896257,80.263996,Good,90,Running,S063,Active,Normal,0
EQ00066,Excavator,S056,10.8,1.3,75,15.9,88,C1725,OP0950,12.720407,80.026542,Due Soon,97,Running,S056,Active,Normal,0
EQ00067,Excavator,S145,9.5,2.7,51,25.6,81,C6331,OP1121,13.06082,80.262938,Good,83,Running,S145,Active,Normal,0
EQ00068,Bulldozer,S002,6.8,2.0,48,35.0,92,C8979,OP0464,13.034613,80.143822,Overdue,97,Running,S002,Active,Normal,0
EQ00069,Excavator,S001,10.4,2.2,94,39.9,85,C3989,OP0392,12.894253,80.09033,Good,66,Running,S001,Active,Normal,0
EQ00070,Excavator,S081,10.0,1.6,61,15.8,100,C9533,OP0133,13.147108,80.025206,Good,67,Running,S081,Active,Normal,0
EQ00071,Excavator,S098,7.0,1.0,92,27.8,100,C1916,OP0433,13.253459,80.299887,Good,95,Running,S098,Active,Normal,0
EQ00072,Backhoe Loader,S075,9.5,2.9,76,24.0,90,C3913,OP1084,13.083849,80.360335,Good,98,Running,S075,Active,Normal,0
EQ00073,Skid Steer Loader,S139,6.1,1.7,41,26.6,96,C9394,OP1108,12.93045,80.104801,Due Soon,90,Running,S139,Active,Normal,0
EQ00074,Dump Truck,S138,5.7,1.1,69,36.1,93,C8497,OP0312,12.701946,80.271302,Good,83,Running,S138,Active,Normal,0
EQ00075,Wheel Loader,S056,7.8,2.3,73,22.6,83,C6200,OP0702,12.877316,80.272831,Due Soon,98,Running,S056,Active,Normal,0
EQ00076,Motor Grader,S107,7.4,1.5,47,20.3,87,C5074,OP0518,13.285128,80.129676,Due Soon,84,Running,S107,Active,Normal,0
EQ00077,Excavator,S133,9.2,0.5,88,13.6,83,C7147,OP0994,13.191064,80.279578,Good,69,Running,S133,Active,Normal,0
EQ00078,Wheel Loader,S091,7.2,2.9,35,29.8,92,C2919,OP1138,12.959242,79.970764,Good,89,Running,S091,Active,Normal,0
EQ00079,Backhoe Loader,S006,9.7,1.4,66,19.7,91,C7294,OP0876,13.106602,80.002469,Good,92,Running,S006,Active,Normal,0
EQ00080,Motor Grader,S108,8.1,1.3,90,17.5,96,C7988,OP0414,12.700569,80.172848,Due Soon,78,Running,S108,Active,Normal,0
EQ00081,Skid Steer Loader,S067,10.0,16.0,87,15.2,100,C5211,OP0499,13.26754,80.159543,Good,8,Idle,S067,Active,Low Utilization,1
EQ00082,Bulldozer,S100,0.5,22.0,69,23.5,83,C3867,OP1030,13.28845,80.325708,Good,5,Idle,S100,Active,High Idle,1
EQ00083,Backhoe Loader,S074,9.8,1.3,5,18.0,83,C2165,OP0194,12.999984,80.11847,Good,79,Running,S074,Active,Fuel Anomaly,1
EQ00084,Skid Steer Loader,S019,5.2,0.7,36,29.9,98,C3851,OP0706,13.196976,80.101995,Good,68,Running,S019,Active,Normal,0
EQ00085,Excavator,S089,11.0,0.3,59,27.5,99,C4362,OP0476,13.279073,80.350236,Good,72,Running,S089,Active,Normal,0
EQ00086,Skid Steer Loader,S143,7.0,2.2,68,37.5,88,C9994,OP1065,13.130705,80.027767,Good,85,Running,S143,Active,Normal,0
EQ00087,Backhoe Loader,S043,6.5,2.6,41,33.3,83,C9367,OP0358,12.896142,80.303007,Good,72,Running,S043,Active,Normal,0
EQ00088,Dump Truck,S068,8.0,0.1,39,12.8,88,C1209,OP0885,12.971172,79.977188,Good,92,Running,S068,Active,Normal,0
EQ00089,Excavator,S080,10.8,2.2,44,18.8,92,C5156,OP0154,13.100606,80.320166,Good,95,Running,S080,Active,Normal,0
EQ00090,Backhoe Loader,S102,6.5,0.3,44,25.5,86,C2975,OP0975,13.079651,80.271613,Good,93,Running,S102,Active,Normal,0
EQ00091,Skid Steer Loader,S072,6.9,0.6,52,21.8,90,C9631,OP0668,12.79731,80.350708,Overdue,67,Running,S072,Active,Normal,0
EQ00092,Wheel Loader,S140,7.4,2.7,41,19.0,97,C1341,OP0932,12.825151,80.216637,Good,86,Running,S140,Active,Normal,0
EQ00093,Backhoe Loader,S121,6.2,1.5,89,14.7,87,C8291,OP0985,13.099558,80.146504,Good,82,Running,S121,Active,Normal,0
EQ00094,Backhoe Loader,S150,6.5,0.3,40,15.2,98,C3868,OP0710,13.022929,79.986686,Good,92,Running,S150,Active,Normal,0
EQ00095,Bulldozer,S106,6.7,2.3,85,20.1,83,C2824,OP0534,12.87888,80.303151,Due Soon,89,Running,S106,Active,Normal,0
EQ00096,Dump Truck,S075,9.6,2.7,92,31.8,97,C5352,OP1134,13.032508,80.289037,Good,79,Running,S075,Active,Normal,0
EQ00097,Motor Grader,S061,6.9,1.8,79,28.9,90,C5444,OP1012,13.241754,80.354575,Due Soon,71,Running,S061,Active,Normal,0
EQ00098,Backhoe Loader,S007,6.1,1.9,79,30.9,97,C1440,OP0330,13.206401,80.01918,Due Soon,68,Running,S007,Active,Normal,0
EQ00099,Backhoe Loader,S134,6.2,1.4,57,21.4,82,C3504,OP0879,13.072179,80.375858,Due Soon,85,Running,S134,Active,Normal,0
EQ00100,Excavator,S112,8.8,0.3,77,31.1,87,C1858,OP0126,13.059428,79.97972,Good,73,Running,S112,Active,Normal,0
EQ00101,Backhoe Loader,S051,7.6,0.8,47,26.2,86,C7128,OP0123,13.214889,80.283892,Good,71,Running,S051,Active,Normal,0
EQ00102,Backhoe Loader,S148,7.3,0.3,64,12.5,91,C7698,OP0247,12.771966,79.967112,Good,77,Running,S148,Expired,Contract Expired,1
EQ00103,Skid Steer Loader,S119,5.0,1.3,77,22.2,86,C3813,OP0590,12.90866,80.143589,Good,78,Running,S119,Active,Normal,0
EQ00104,Excavator,S053,6.4,2.6,75,24.2,99,C4147,OP0490,12.87968,80.081028,Good,78,Running,S053,Active,Normal,0
EQ00105,Excavator,S021,8.9,16.0,73,38.9,84,C7601,OP0901,13.306555,80.272915,Good,8,Idle,S021,Active,Low Utilization,1
EQ00106,Motor Grader,S144,10.8,2.8,52,24.1,99,C2544,OP0778,13.009998,80.296986,Due Soon,96,Running,S144,Active,Normal,0
EQ00107,Excavator,S092,7.8,2.2,38,21.4,100,C3098,OP0721,12.916394,79.96737,Good,90,Running,S092,Active,Normal,0
EQ00108,Wheel Loader,S019,8.7,1.0,88,19.7,90,C9086,OP0574,12.920268,80.170976,Good,83,Running,S019,Active,Normal,0
EQ00109,Bulldozer,S072,6.2,0.8,50,39.6,87,C1840,OP0554,13.26468,80.278326,Good,81,Running,S072,Active,Normal,0
EQ00110,Bulldozer,S111,6.2,0.5,80,27.0,99,C5950,OP1034,13.09221,80.074232,Due Soon,98,Running,S111,Active,Normal,0
EQ00111,Skid Steer Loader,S078,7.5,0.0,47,30.8,83,C1450,OP0519,12.765731,79.985336,Good,85,Running,S078,Active,Normal,0
EQ00112,Skid Steer Loader,S084,8.4,1.8,79,25.6,96,C8388,OP0044,13.307201,80.015337,Good,85,Running,S084,Active,Normal,0
EQ00113,Backhoe Loader,S002,9.9,1.7,63,34.2,100,C8505,OP0820,13.128859,80.104906,Good,76,Running,S002,Active,Normal,0
EQ00114,Wheel Loader,S129,10.8,0.1,92,14.6,87,C4977,OP0691,13.260084,80.060517,Good,80,Running,S129,Active,Normal,0
EQ00115,Backhoe Loader,S140,8.9,2.3,58,31.2,92,C7262,OP0023,12.778339,80.194991,Due Soon,73,Running,S140,Active,Normal,0
EQ00116,Skid Steer Loader,S066,7.1,1.6,84,18.9,84,C7414,OP0382,12.759273,80.394834,Good,67,Running,S066,Active,Normal,0
EQ00117,Skid Steer Loader,S043,5.1,1.0,44,17.8,80,C9382,OP0026,12.780222,80.387721,Good,84,Running,S043,Active,Normal,0
EQ00118,Wheel Loader,S120,9.3,1.6,81,18.6,98,C6437,OP1188,13.33528,80.041002,Good,75,Running,S120,Active,Normal,0
EQ00119,Excavator,S065,10.6,0.2,89,37.0,89,C5957,OP0221,12.850879,80.388421,Good,96,Running,S065,Active,Normal,0
EQ00120,Wheel Loader,S077,9.9,0.6,79,38.9,85,C3067,OP0235,13.001492,80.070651,Good,72,Running,S077,Expired,Contract Expired,1
EQ00121,Backhoe Loader,S089,6.2,1.0,92,29.6,88,C1558,OP0604,13.150887,80.131569,Good,73,Running,S089,Expired,Contract Expired,1
EQ00122,Skid Steer Loader,S017,10.2,1.0,76,26.0,95,C5485,OP0119,13.170231,80.187417,Good,69,Running,S017,Active,Normal,0
EQ00123,Dump Truck,S132,8.4,1.2,55,35.0,100,C7393,OP0907,13.126688,80.198948,Due Soon,98,Running,S132,Active,Normal,0
EQ00124,Skid Steer Loader,S111,8.8,0.6,87,26.9,90,C4395,OP1152,12.873173,80.086944,Good,84,Running,S111,Active,Normal,0
EQ00125,Dump Truck,S094,6.4,0.2,70,39.6,88,C7742,OP0453,12.842335,80.279392,Good,79,Running,S094,Active,Normal,0
EQ00126,Backhoe Loader,S045,9.0,0.1,51,21.7,88,C4069,OP0731,13.231465,80.271032,Good,93,Running,S045,Active,Normal,0
EQ00127,Backhoe Loader,S028,6.3,2.1,89,29.9,90,C1158,OP0384,12.728165,80.092683,Good,93,Running,S028,Active,Normal,0
EQ00128,Backhoe Loader,S044,5.1,0.7,65,28.9,89,C1594,OP0804,13.17571,80.216773,Good,83,Running,S044,Active,Normal,0
EQ00129,Backhoe Loader,S093,5.2,1.4,93,36.9,96,C4311,OP0196,13.266319,80.357437,Good,74,Running,S093,Active,Normal,0
EQ00130,Skid Steer Loader,S134,8.7,0.3,89,38.3,88,C1608,OP0238,12.939062,80.128988,Good,78,Running,S134,Active,Normal,0
EQ00131,Excavator,S098,5.4,2.2,73,30.5,87,C1882,OP0412,12.820336,80.144207,Good,95,Running,S098,Active,Normal,0
EQ00132,Wheel Loader,S122,7.3,0.4,76,17.0,87,C3230,OP0792,12.96676,80.39812,Good,65,Running,S122,Active,Normal,0
EQ00133,Dump Truck,S133,7.1,1.3,78,27.3,86,C1635,OP1095,13.265214,80.154893,Good,70,Running,S133,Active,Normal,0
EQ00134,Motor Grader,S014,10.7,0.6,56,16.8,91,C3366,OP0433,12.931661,80.273625,Good,73,Running,S014,Active,Normal,0
EQ00135,Backhoe Loader,S103,10.8,1.5,92,34.1,86,C5182,OP0562,13.106538,80.163687,Good,81,Running,S103,Active,Normal,0
EQ00136,Dump Truck,S013,5.0,2.2,83,19.2,100,C7663,OP0826,13.041999,80.034241,Overdue,86,Running,S013,Active,Normal,0
EQ00137,Bulldozer,S047,7.6,1.2,81,15.1,94,C9607,OP0707,12.94414,80.024731,Good,66,Running,S047,Active,Normal,0
EQ00138,Dump Truck,S047,9.9,2.8,87,28.2,85,C1381,OP1066,13.28827,80.113942,Good,71,Running,S047,Active,Normal,0
EQ00139,Skid Steer Loader,S090,8.3,0.7,5,18.0,85,C3376,OP0497,13.163411,80.221062,Good,67,Running,S090,Active,Fuel Anomaly,1
EQ00140,Excavator,S043,6.4,2.0,91,29.8,28,C8513,OP0924,13.112976,80.045558,Overdue,98,Maintenance,S043,Active,Maintenance Overdue,1
EQ00141,Dump Truck,S087,8.6,1.2,84,25.2,95,C1693,OP0887,13.05555,80.047367,Good,86,Running,S087,Active,Normal,0
EQ00142,Backhoe Loader,S030,7.2,16.0,69,38.0,88,C7187,OP0415,12.929896,80.220353,Good,8,Idle,S030,Active,Low Utilization,1
EQ00143,Skid Steer Loader,S088,8.6,0.3,77,24.8,80,C2009,OP0793,12.808636,80.225953,Due Soon,84,Running,S088,Active,Normal,0
EQ00144,Motor Grader,S021,10.0,2.1,73,26.9,83,C4388,OP1166,12.872627,80.172768,Due Soon,96,Running,S021,Active,Normal,0
EQ00145,Motor Grader,S064,10.9,0.3,69,21.4,91,C2831,OP1018,13.139049,80.238803,Good,79,Running,S064,Active,Normal,0
EQ00146,Dump Truck,S054,6.8,2.9,80,22.9,94,C4767,OP0082,12.832475,80.023723,Due Soon,70,Running,S054,Active,Normal,0
EQ00147,Excavator,S085,8.7,2.1,91,38.6,80,C1287,OP0458,12.749063,80.013639,Overdue,94,Running,S085,Active,Normal,0
EQ00148,Skid Steer Loader,S146,10.3,1.6,95,38.7,96,C2527,OP0688,12.978346,80.134972,Good,72,Running,S146,Active,Normal,0
EQ00149,Motor Grader,S058,9.8,0.7,39,165.0,83,C3695,OP0245,13.078744,79.983554,Good,98,Running,S058,Active,Distance Spike,1
EQ00150,Bulldozer,S108,9.5,1.3,87,13.8,80,C3477,OP0297,12.740107,80.201462,Good,88,Running,S108,Active,Normal,0
EQ00151,Motor Grader,S032,5.3,0.7,73,30.8,92,C6940,OP0236,13.185976,80.160531,Good,77,Running,S032,Active,Normal,0
EQ00152,Backhoe Loader,S110,7.9,2.2,66,26.8,81,C9748,OP0602,13.117548,80.25345,Due Soon,84,Running,S110,Active,Normal,0
EQ00153,Wheel Loader,S041,5.7,1.3,36,18.0,90,C2780,OP0834,12.730109,80.021985,Due Soon,78,Running,S041,Active,Normal,0
EQ00154,Bulldozer,S043,6.8,0.1,62,19.8,86,C9348,OP0794,13.131861,80.304053,Good,86,Running,S043,Active,Normal,0
EQ00155,Dump Truck,S073,5.2,2.3,75,30.3,83,C2438,OP0568,12.903771,80.079669,Good,95,Running,S073,Expired,Contract Expired,1
EQ00156,Bulldozer,S104,7.8,1.8,74,27.7,90,C9871,OP0521,13.097669,80.198494,Good,73,Running,S104,Active,Normal,0
EQ00157,Motor Grader,S042,9.9,1.2,48,22.2,90,C5763,OP0888,13.225661,80.117929,Good,93,Running,S042,Active,Normal,0
EQ00158,Excavator,S067,9.4,1.1,51,16.3,84,C4497,OP0476,12.733955,80.394344,Good,93,Running,S067,Active,Normal,0
EQ00159,Excavator,S101,6.9,1.2,38,14.1,95,C8404,OP0528,12.962669,80.066435,Good,80,Running,S101,Active,Normal,0
EQ00160,Dump Truck,S136,7.6,2.0,35,25.7,85,C8523,OP0101,12.704261,80.06295,Good,93,Running,S136,Active,Normal,0
EQ00161,Backhoe Loader,S039,9.6,0.5,42,24.4,91,C8012,OP0257,12.839542,80.292976,Overdue,68,Running,S039,Active,Normal,0
EQ00162,Wheel Loader,S142,8.3,1.0,42,32.7,83,C9165,OP0124,13.202222,80.041254,Good,98,Running,S142,Active,Normal,0
EQ00163,Motor Grader,S011,10.8,1.5,68,24.8,87,C2048,OP0909,12.734103,80.381775,Good,74,Running,S011,Active,Normal,0
EQ00164,Excavator,S058,9.5,0.6,36,15.2,28,C3863,OP1162,13.048134,80.239153,Overdue,83,Maintenance,S058,Active,Maintenance Overdue,1
EQ00165,Backhoe Loader,S003,10.6,1.9,36,24.2,83,C1910,OP0855,13.335934,80.399398,Good,75,Running,S003,Active,Normal,0
EQ00166,Skid Steer Loader,S059,9.4,0.2,94,33.0,87,C5531,OP0694,13.175631,80.182773,Overdue,77,Running,S059,Active,Normal,0
EQ00167,Excavator,S031,6.8,0.9,59,18.8,95,C2879,OP0015,13.203065,80.022561,Good,70,Running,S054,Active,Wrong Site,1
EQ00168,Backhoe Loader,S074,8.9,2.1,40,165.0,89,C4531,OP0553,12.834568,80.351297,Good,98,Running,S074,Active,Distance Spike,1
EQ00169,Excavator,S130,8.0,1.5,69,13.0,91,C7911,OP0674,13.245623,80.264836,Good,75,Running,S130,Active,Normal,0
EQ00170,Dump Truck,S139,8.2,2.8,58,21.1,83,C6450,OP0277,12.800242,80.157671,Good,84,Running,S139,Active,Normal,0
EQ00171,Bulldozer,S089,6.6,2.9,68,12.5,91,C2971,OP1151,12.707067,80.085799,Good,96,Running,S089,Active,Normal,0
EQ00172,Wheel Loader,S104,9.3,2.6,66,20.9,82,C5810,OP0846,12.722964,79.968092,Good,92,Running,S104,Active,Normal,0
EQ00173,Bulldozer,S064,9.5,1.9,57,27.1,96,C5601,OP0271,12.988011,80.396916,Good,87,Running,S064,Active,Normal,0
EQ00174,Excavator,S100,5.8,2.2,67,23.4,84,C5218,OP0019,12.757974,80.388439,Good,87,Running,S100,Active,Normal,0
EQ00175,Backhoe Loader,S006,5.5,0.7,70,23.8,82,C7852,OP0710,13.05645,80.3454,Due Soon,89,Running,S006,Active,Normal,0
EQ00176,Bulldozer,S052,6.3,0.3,87,27.0,93,C9579,OP1196,12.880184,80.346196,Good,89,Running,S052,Active,Normal,0
EQ00177,Dump Truck,S105,10.1,1.1,68,31.8,92,C4785,OP0249,13.187383,80.081473,Good,82,Running,S105,Active,Normal,0
EQ00178,Dump Truck,S137,5.9,2.5,87,18.5,93,C2019,OP0123,12.716656,80.3951,Due Soon,84,Running,S137,Active,Normal,0
EQ00179,Bulldozer,S094,6.4,2.5,80,36.3,99,C6073,OP0227,13.096369,80.084288,Good,98,Running,S094,Active,Normal,0
EQ00180,Backhoe Loader,S041,8.4,1.9,79,38.1,89,C5777,OP0407,12.8879,80.096721,Good,93,Running,S041,Active,Normal,0
EQ00181,Excavator,S062,6.2,2.8,50,19.8,92,C1835,OP1082,12.724645,80.271155,Good,78,Running,S062,Active,Normal,0
EQ00182,Bulldozer,S039,5.1,1.7,35,34.3,94,C7810,OP0219,12.897539,80.011501,Good,73,Running,S039,Active,Normal,0
EQ00183,Dump Truck,S084,7.8,3.0,83,33.4,94,C9756,OP0801,13.181635,80.313201,Due Soon,66,Running,S084,Active,Normal,0
EQ00184,Excavator,S018,10.2,0.2,43,27.8,84,C7684,OP0522,13.220021,80.356164,Good,79,Running,S018,Active,Normal,0
EQ00185,Dump Truck,S070,8.6,0.2,85,25.4,98,C2686,OP0551,13.221666,80.191319,Good,75,Running,S070,Active,Normal,0
EQ00186,Backhoe Loader,S044,9.7,0.7,73,29.1,93,C3495,OP0945,12.718444,80.245725,Good,88,Running,S044,Active,Normal,0
EQ00187,Dump Truck,S045,7.7,2.2,78,27.0,93,C4664,OP1025,13.145469,80.392849,Good,95,Running,S045,Active,Normal,0
